arrival_rate,bp_parameter_L,bp_parameter_H
26.0,4.073,262144,20927035.61527399
26.0,4.639,32768,1939371.6855517924
26.0,5.649,4096,2127714.106003671
26.0,7.918,512,2089643.428952174
26.0,16.772,64,2415210.407397252
