arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
28.0,4.073,262144,10981954.528769048
28.0,4.639,32768,7172255.246864405
28.0,5.649,4096,6412601.491250879
28.0,7.918,512,3065803.8193000867
28.0,16.772,64,4133165.851503663
