arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
30.0,4.073,262144,2618672.051281145
30.0,4.639,32768,1103624.6511989483
30.0,5.649,4096,2144545.8918666206
30.0,7.918,512,570926.64436423
30.0,16.772,64,563567.7879882774
