arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
22.0,4.073,262144,32863814.68922981
22.0,4.639,32768,16586767.952662086
22.0,5.649,4096,10927025.274252458
22.0,7.918,512,14429082.449497335
22.0,16.772,64,14286673.519785387
