arrival_rate,bp_parameter_L,bp_parameter_H
38.0,4.073,262144,568103.3787172894
38.0,4.639,32768,318999.44399481325
38.0,5.649,4096,100081.7314148791
38.0,7.918,512,38529.78603626031
38.0,16.772,64,13028.230808517324
