arrival_rate,bp_parameter_L,bp_parameter_H
28.0,4.073,262144,1018283.4993654763
28.0,4.639,32768,417622.0095085986
28.0,5.649,4096,2615196.371970564
28.0,7.918,512,1109590.3443167664
28.0,16.772,64,1312671.3003349316
