arrival_rate,bp_parameter_L,bp_parameter_H
22.0,4.073,262144,1247799.297743832
22.0,4.639,32768,4550113.335687036
22.0,5.649,4096,4573188.452367998
22.0,7.918,512,5157929.943122919
22.0,16.772,64,5016316.875391446
