arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
28.0,4.073,262144,4904379.61863129
28.0,4.639,32768,2600211.867594831
28.0,5.649,4096,4037512.0020877956
28.0,7.918,512,5070343.85430584
28.0,16.772,64,4610359.285979673
