arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
40.0,4.073,262144,1029279.2725174251
40.0,4.639,32768,755727.4379615973
40.0,5.649,4096,208914.60301998997
40.0,7.918,512,43535.76444717607
40.0,16.772,64,16111.590393254168
