arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
26.0,4.073,262144,4604078.245400159
26.0,4.639,32768,8562865.561054664
26.0,5.649,4096,8457614.158230085
26.0,7.918,512,6738684.125200335
26.0,16.772,64,7522268.076332363
