arrival_rate,bp_parameter_L,bp_parameter_H
20.0,4.073,262144,8150868.913112883
20.0,4.639,32768,7186432.215078147
20.0,5.649,4096,5331101.848666184
20.0,7.918,512,5947856.929193068
20.0,16.772,64,5989137.590949552
