arrival_rate,bp_parameter_L,bp_parameter_H
24.0,4.073,262144,621399.6516341154
24.0,4.639,32768,3315849.664503956
24.0,5.649,4096,3662820.291209084
24.0,7.918,512,4081065.590202392
24.0,16.772,64,3653913.1176550984
