arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
38.0,4.073,262144,1939081.4576332269
38.0,4.639,32768,477221.12201997096
38.0,5.649,4096,231828.07498014558
38.0,7.918,512,52388.57755274521
38.0,16.772,64,18342.90162433414
