arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
30.0,4.073,262144,5930634.184254496
30.0,4.639,32768,7865328.488897524
30.0,5.649,4096,659508.8659009824
30.0,7.918,512,1482042.707589427
30.0,16.772,64,762970.7326686915
