arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
24.0,4.073,262144,8344575.802607524
24.0,4.639,32768,8505226.435439976
24.0,5.649,4096,10215948.91046588
24.0,7.918,512,10954777.337439498
24.0,16.772,64,10242657.487856753
