arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
40.0,4.073,262144,3898255.1774900523
40.0,4.639,32768,954985.3364952783
40.0,5.649,4096,111117.56999682814
40.0,7.918,512,38764.1875575898
40.0,16.772,64,14840.522665997987
