arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
32.0,4.073,262144,1416049.068753975
32.0,4.639,32768,1655049.8850445566
32.0,5.649,4096,376642.82883389667
32.0,7.918,512,284565.6267647236
32.0,16.772,64,118456.8504182008
