arrival_rate,bp_parameter_L,bp_parameter_H
40.0,4.073,262144,190414.4840262946
40.0,4.639,32768,483377.9049894606
40.0,5.649,4096,118279.56782555472
40.0,7.918,512,30600.27947584793
40.0,16.772,64,10782.86469357749
