arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
40.0,4.073,262144,684673.7211906121
40.0,4.639,32768,331115.8981625618
40.0,5.649,4096,266011.7994375437
40.0,7.918,512,41032.870457719626
40.0,16.772,64,15342.826630057449
