arrival_rate,bp_parameter_L,bp_parameter_H
32.0,4.073,262144,13919919.110290691
32.0,4.639,32768,464765.2463093599
32.0,5.649,4096,519456.9516668345
32.0,7.918,512,128876.1283054391
32.0,16.772,64,43082.60661798448
