arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
28.0,4.073,262144,17639542.34320196
28.0,4.639,32768,12677494.36483377
28.0,5.649,4096,3390627.8444412034
28.0,7.918,512,4544347.440169601
28.0,16.772,64,4370409.091201074
