frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
4,524218.866776,524218.866776,524218.866776,524218.866776,524218.866776,524218.866776
32768,958426.601693,959444.010658,959444.010658,959448.222898,959448.222898,959444.010658
2,625448.023621,627438.270831,627438.270831,627438.270831,627438.270831,627438.270831
16,503178.298160,503108.157663,503108.157663,503108.157663,503108.157663,503108.157663
32,792900.381239,792872.826108,792872.826108,792872.826108,792872.826108,792872.826108
8,673534.867951,673534.867951,673534.867951,673534.867951,673534.867951,673534.867951
256,1059668.174182,1060444.158005,1060444.158005,1060444.158005,1060444.158005,1060364.730369
8192,959190.128818,958633.381252,958968.883437,958968.883437,958968.883437,958968.218652
1024,1229837.979179,1236941.804315,1236941.804315,1236941.804315,1236941.804315,1236941.804315
128,1041188.131543,1041188.131543,1041188.131543,1041188.131543,1041188.131543,1041188.131543
4096,1197945.926153,1210100.617886,1211760.210444,1211760.210444,1211856.110651,1211760.210444
512,1258392.760832,1273024.905963,1273024.905963,1273024.905963,1273014.524075,1273024.905963
64,1165025.597553,1168252.690749,1168252.690749,1168252.690749,1168252.690749,1168252.690749
65536,859484.024871,859475.626224,859475.432501,859461.766497,859461.766497,859461.766497
2048,1840706.563786,1862878.513374,1862878.513374,1862878.513374,1862750.703174,1862878.513374
16384,2144252.962955,2144252.962955,2144252.962955,2144252.962955,2144252.962955,2144252.962955
