frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
2,519082.791941,519082.791941,519082.791941,519082.791941,519082.791941,519082.791941
32,506087.949562,506087.949562,506087.949562,506087.949562,506087.949562,506087.949562
16,607453.132651,608074.512353,608074.512353,608074.512353,608074.512353,608074.512353
8,430756.291695,430813.535853,430813.535853,430813.535853,430813.535853,430813.535853
4,559001.405202,559700.145726,559700.145726,559700.145726,559700.145726,559700.145726
64,733397.802142,733951.124209,733951.124209,733951.124209,733990.340910,733951.124209
512,794116.764049,796067.498233,796067.498233,796067.498233,796067.498233,796067.498233
32768,754667.270547,769533.350518,769533.350518,769533.350518,769533.350518,769533.350518
16384,1300373.627319,1303102.396048,1311778.232335,1316403.221468,1316403.221468,1316403.221468
8192,1018363.541436,1027385.969404,1027385.969404,1027385.969404,1027385.969404,1027385.969404
4096,1431487.419236,1433721.524987,1452593.002595,1457828.311303,1457828.311303,1457828.311303
1024,1072855.162327,1077779.257248,1077779.257248,1077779.257248,1077838.191066,1077779.257248
128,1274571.577010,1274571.577010,1274571.577010,1274571.577010,1274571.577010,1274571.577010
256,1318938.903720,1318938.903720,1318938.903720,1318938.903720,1318938.903720,1318938.903720
2048,1658598.130480,1694774.679516,1695692.154995,1695692.154995,1695747.284977,1695692.154995
65536,2900369.565837,2949145.990516,2949145.990516,2949145.990516,2949145.990516,2949145.990516
