frequency,Dynamic_njobs500_mode0_L2_norm_flow_time,Dynamic_njobs500_mode0_maximum_flow_time,Dynamic_njobs500_mode1_L2_norm_flow_time,Dynamic_njobs500_mode1_maximum_flow_time,Dynamic_njobs500_mode2_L2_norm_flow_time,Dynamic_njobs500_mode2_maximum_flow_time,Dynamic_njobs500_mode4_L2_norm_flow_time,Dynamic_njobs500_mode4_maximum_flow_time,Dynamic_njobs500_mode8_L2_norm_flow_time,Dynamic_njobs500_mode8_maximum_flow_time,Dynamic_njobs500_mode16_L2_norm_flow_time,Dynamic_njobs500_mode16_maximum_flow_time
8,342233.784958,18299.000000,342233.784958,18299.000000,342233.784958,18299.000000,342233.784958,18299.000000,342233.784958,18299.000000,342233.784958,18299.000000
128,908537.025035,25515.000000,908537.025035,25515.000000,908537.025035,25515.000000,908537.025035,25515.000000,908537.025035,25515.000000,908537.025035,25515.000000
8192,379293.045055,20439.000000,379293.045055,20439.000000,379293.045055,20439.000000,379293.045055,20439.000000,379293.045055,20439.000000,379293.045055,20439.000000
2,424137.911266,23511.000000,424137.911266,23511.000000,424137.911266,23511.000000,424137.911266,23511.000000,424137.911266,23511.000000,424137.911266,23511.000000
16384,1198451.542297,22837.000000,1198451.542297,22837.000000,1198451.542297,22837.000000,1198451.542297,22837.000000,1198451.542297,22837.000000,1198451.542297,22837.000000
1024,1100373.882597,20067.000000,1100373.882597,20067.000000,1100373.882597,20067.000000,1100373.882597,20067.000000,1100373.882597,20067.000000,1100373.882597,20067.000000
256,945190.884601,29269.000000,945190.884601,29269.000000,945190.884601,29269.000000,945190.884601,29269.000000,945190.884601,29269.000000,945190.884601,29269.000000
16,858977.181015,14544.000000,858977.181015,14544.000000,858977.181015,14544.000000,858977.181015,14544.000000,858977.181015,14544.000000,858977.181015,14544.000000
65536,1042635.586017,20843.000000,1042635.586017,20843.000000,1042635.586017,20843.000000,1042635.586017,20843.000000,1042635.586017,20843.000000,1042635.586017,20843.000000
4,98581.288194,8063.000000,98581.288194,8063.000000,98581.288194,8063.000000,98581.288194,8063.000000,98581.288194,8063.000000,98581.288194,8063.000000
512,1189885.720495,27815.000000,1189885.720495,27815.000000,1189885.720495,27815.000000,1189885.720495,27815.000000,1189885.720495,27815.000000,1189885.720495,27815.000000
64,819613.977671,13411.000000,819613.977671,13411.000000,819613.977671,13411.000000,819613.977671,13411.000000,819613.977671,13411.000000,819613.977671,13411.000000
2048,1036142.081719,21118.000000,1036142.081719,21118.000000,1036142.081719,21118.000000,1036142.081719,21118.000000,1036142.081719,21118.000000,1036142.081719,21118.000000
4096,1751318.400096,27783.000000,1751318.400096,27783.000000,1751318.400096,27783.000000,1751318.400096,27783.000000,1751318.400096,27783.000000,1751318.400096,27783.000000
32,1078710.313957,22092.000000,1078710.313957,22092.000000,1078710.313957,22092.000000,1078710.313957,22092.000000,1078710.313957,22092.000000,1078710.313957,22092.000000
32768,3013395.459411,43710.000000,3013395.459411,43710.000000,3013395.459411,43710.000000,3013395.459411,43710.000000,3013395.459411,43710.000000,3013395.459411,43710.000000
