frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
32768,730768.150464,730519.556668,730517.240708,730517.240708,730517.240708,730517.240708
64,748524.540629,748514.854517,748514.854517,748514.854517,748524.540629,748514.854517
8,451375.030317,452742.996040,452742.996040,452742.996040,452742.996040,452742.996040
65536,570533.295431,571953.994896,571954.087245,571954.082744,571954.261295,571954.006245
512,408441.911636,408186.424611,408186.424611,408186.424611,408186.424611,408186.424611
2,550776.852972,550901.453043,550901.453043,550901.945139,550901.945139,550901.453043
8192,599001.640229,599555.898522,599555.790728,599562.486634,599562.486634,599555.795663
1024,687906.060697,687907.679882,687907.679882,687907.679882,687907.679882,687907.679882
16,811590.392159,816212.701315,816212.701315,816212.701315,816212.701315,816212.701315
4096,881165.882889,880448.186640,881890.144630,881890.197808,882018.298253,881890.144630
256,1125932.005575,1131738.261785,1131738.261785,1131738.261785,1131738.261785,1131738.261785
32,883133.843032,883133.843032,883133.843032,883133.843032,883133.843032,883133.843032
16384,910995.790658,921509.277111,921509.277111,921509.277111,921520.800792,921509.277111
4,810301.170279,810301.170279,810301.170279,810301.170279,810301.170279,810301.170279
128,1230160.883892,1230160.883892,1230160.883892,1230160.883892,1230160.883892,1230160.883892
2048,1291906.352489,1291906.663608,1292420.194074,1292420.194074,1292080.077561,1292420.194074
