frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
65536,729107.931429,729105.641728,729105.641728,729105.641728,729105.641728,729105.641728
2048,610809.331970,610322.080207,610322.080207,610322.080207,610322.080207,610322.080207
16,550973.913013,550973.913013,550973.913013,550973.913013,550973.913013,550973.913013
8,476490.528230,476275.049153,476275.049153,476275.049153,476275.049153,476275.049153
1024,847358.657813,847388.757752,847388.757752,847388.757752,847388.757752,847388.757752
64,723797.004528,723797.004528,723797.004528,723797.004528,723797.004528,723797.004528
2,690729.110279,690729.110279,690729.110279,690729.110279,690729.110279,690729.110279
4096,1122638.308497,1122638.308497,1122862.630238,1122862.630238,1122862.630238,1122752.901045
4,900498.444019,900498.444019,900498.444019,900498.444019,900498.444019,900498.444019
256,662497.416636,662497.416636,662497.416636,662497.416636,662497.416636,662497.416636
32,1002248.941267,1002248.941267,1002248.941267,1002248.941267,1002248.941267,1002248.941267
128,983595.840573,983595.840573,983595.840573,983595.840573,983595.840573,983595.840573
32768,2676753.508646,2714423.364389,2714423.364389,2714423.364389,2714423.364389,2714423.364389
512,1213201.919506,1213201.919506,1213201.919506,1213201.919506,1213201.919506,1213201.919506
8192,2050366.918508,2050366.918508,2050366.918508,2050366.918508,2050366.918508,2050366.918508
16384,2686687.336490,2707691.416974,2707691.416974,2707691.416974,2707691.416974,2707691.416974
