arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode8_L2_norm_flow_time
30,500.000000,200,58935291.899752,58935291.899752,58935291.899752,58935291.899752,58935291.899752,58935291.899752,58935291.899752,58935291.899752
30,100.000000,50,9272238.856037,9272238.856037,9272238.856037,9272238.856037,9272238.856037,9272238.856037,9272238.856037,9272238.856037
30,2000.000000,800,242447770.662983,242447770.662983,242447770.662983,242447770.662983,242447770.662983,242447770.662983,242447770.662983,242447770.662983
30,8.500000,262144,21750599.824738,21055155.907073,21055155.907073,21055155.907073,21188752.282145,21055155.907073,21055155.907073,21055155.907073
30,9.800000,32768,31123193.231299,31020832.523615,31020832.523615,31020832.523615,31020832.523615,31020832.523615,31020832.523615,31020832.523615
30,12.400000,4096,53532043.422190,53532043.422190,53532043.422190,53532043.422190,53532043.422190,53532043.422190,53532043.422190,53532043.422190
30,18.900000,512,95600683.653216,95600683.653216,95600683.653216,95600683.653216,95600683.653216,95600683.653216,95600683.653216,95600683.653216
30,60.000000,24,135136233.867789,136906624.914191,140397227.109189,141003703.576933,141003327.076749,141003755.201473,141003755.201473,141003755.201473
30,60.000000,18,139908193.665786,139909820.454468,139909820.454468,139909820.454468,139909820.454468,139909820.454468,139909820.454468,139909820.454468
30,60.000000,12,140784635.937826,140784635.937826,140784635.937826,140784635.937826,140784635.937826,140784635.937826,140784635.937826,140784635.937826
30,56.300000,64,140769052.656389,140769052.656389,140769052.656389,140769052.656389,140769052.656389,140769052.656389,140769052.656389,140769052.656389
