arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode8_L2_norm_flow_time
28,100.000000,50,9561917.569655,9561917.569655,9561917.569655,9561917.569655,9561917.569655,9561917.569655,9561917.569655,9561917.569655
28,2000.000000,800,242326310.259606,242326310.259606,242326310.259606,242326310.259606,242326310.259606,242326310.259606,242326310.259606,242326310.259606
28,500.000000,200,59290204.555759,59290204.555759,59290204.555759,59290204.555759,59290204.555759,59290204.555759,59290204.555759,59290204.555759
28,9.800000,32768,34883591.939486,34899082.345692,34879329.982355,34879329.982355,34879329.982355,34899082.345692,34899082.345692,34899082.345692
28,8.500000,262144,24577387.285915,24577387.285915,24577387.285915,24577387.285915,24577387.285915,24577387.285915,24577387.285915,24577387.285915
28,12.400000,4096,58799682.247409,58799682.247409,58799682.247409,58799682.247409,58799682.247409,58799682.247409,58799682.247409,58799682.247409
28,18.900000,512,99318854.103860,99318854.103860,99318854.103860,99318854.103860,99318854.103860,99318854.103860,99318854.103860,99318854.103860
28,60.000000,24,144471576.332255,145119003.789589,147040732.068908,148837901.214500,151769439.948871,151769874.341525,151769601.738264,151686694.173401
28,60.000000,18,148722629.265790,149675309.498560,149766564.254545,149766564.254545,149766467.152536,149766564.254545,149766564.254545,149766564.254545
28,60.000000,12,149507046.826193,149507046.826193,149507046.826193,149507046.826193,149507046.826193,149507046.826193,149507046.826193,149507046.826193
28,56.300000,64,151132950.290997,151132950.290997,151132950.290997,151132950.290997,151132950.290997,151132950.290997,151132950.290997,151132950.290997
