arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode8_L2_norm_flow_time
26,2000.000000,800,246708955.089451,246708955.089451,246708955.089451,246708955.089451,246708955.089451,246708955.089451,246708955.089451,246708955.089451
26,500.000000,200,58771737.989219,58771737.989219,58771737.989219,58771737.989219,58771737.989219,58771737.989219,58771737.989219,58771737.989219
26,100.000000,50,9436425.997411,9436425.997411,9436425.997411,9436425.997411,9436425.997411,9436425.997411,9436425.997411,9436425.997411
26,9.800000,32768,39133428.421514,39133428.421514,39133428.421514,39133428.421514,39133428.421514,39133428.421514,39133428.421514,39133428.421514
26,8.500000,262144,28405452.528307,27852088.296575,27852088.296575,27852088.296575,27852088.296575,27852088.296575,27852088.296575,27852088.296575
26,12.400000,4096,62140603.540041,62140603.540041,62140603.540041,62140603.540041,62140603.540041,62140603.540041,62140603.540041,62140603.540041
26,18.900000,512,105119128.657730,105119128.657730,105119128.657730,105119128.657730,105119128.657730,105119128.657730,105119128.657730,105119128.657730
26,60.000000,24,151610520.789086,151530415.103563,151330121.086251,152095148.367085,152876701.494309,159064901.767892,159015572.249415,153438577.323278
26,60.000000,18,157627585.399965,159826794.513374,160356272.055204,160356261.295807,160356163.208800,160356272.055204,160356272.055204,160356272.055204
26,60.000000,12,159502203.453811,159502203.453811,159502203.453811,159502203.453811,159502203.453811,159502203.453811,159502203.453811,159502203.453811
26,56.300000,64,158904968.373353,158904968.373353,158904968.373353,158904968.373353,158904968.373353,158904968.373353,158904968.373353,158904968.373353
