arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode8_L2_norm_flow_time
32,100.000000,50,9065901.781681,9065901.781681,9065901.781681,9065901.781681,9065901.781681,9065901.781681,9065901.781681,9065901.781681
32,2000.000000,800,246854656.407977,246854656.407977,246854656.407977,246854656.407977,246854656.407977,246854656.407977,246854656.407977,246854656.407977
32,500.000000,200,58247457.183716,58247457.183716,58247457.183716,58247457.183716,58247457.183716,58247457.183716,58247457.183716,58247457.183716
32,9.800000,32768,29170363.532136,29195817.522771,28895560.580924,28895560.580924,28895560.580924,28895560.580924,28895560.580924,28895560.580924
32,8.500000,262144,20168688.984225,20217362.535404,20217362.535404,20217362.535404,20217362.535404,20217362.535404,20217362.535404,20217362.535404
32,12.400000,4096,48944154.224119,48944154.224119,48944154.224119,48944154.224119,48944154.224119,48944154.224119,48944154.224119,48944154.224119
32,18.900000,512,90637518.872445,90631135.628227,90631135.628227,90631135.628227,90631135.628227,90631135.628227,90631135.628227,90631135.628227
32,60.000000,24,129965989.597852,133504824.702743,134174833.188797,134180819.149964,134180629.195259,134180832.538533,134180832.538533,134180832.538533
32,60.000000,18,129244806.395534,129245140.254705,129245140.254705,129245140.254705,129245140.254705,129245140.254705,129245140.254705,129245140.254705
32,60.000000,12,131600031.414304,131600031.414304,131600031.414304,131600031.414304,131600031.414304,131600031.414304,131600031.414304,131600031.414304
32,56.300000,64,132889449.044050,132889449.044050,132889449.044050,132889449.044050,132889449.044050,132889449.044050,132889449.044050,132889449.044050
