arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode8_L2_norm_flow_time
38,100.000000,50,8744510.267849,8744510.267849,8744510.267849,8744510.267849,8744510.267849,8744510.267849,8744510.267849,8744510.267849
38,2000.000000,800,241410717.568347,241410717.568347,241410717.568347,241410717.568347,241410717.568347,241410717.568347,241410717.568347,241410717.568347
38,500.000000,200,58023339.138255,58023339.138255,58023339.138255,58023339.138255,58023339.138255,58023339.138255,58023339.138255,58023339.138255
38,9.800000,32768,20542883.220011,20441701.372108,20441701.372108,20441701.372108,20441701.372108,20441701.372108,20441701.372108,20441701.372108
38,8.500000,262144,11662730.645171,11529292.489391,11529292.489391,11529292.489391,11529292.489391,11529292.489391,11529292.489391,11529292.489391
38,12.400000,4096,38709585.816857,38709585.816857,38709585.816857,38709585.816857,38709585.816857,38709585.816857,38709585.816857,38709585.816857
38,18.900000,512,70958313.690541,71033442.240076,71033442.240076,71217427.690848,71217427.690848,71033442.240076,71033442.240076,71033442.240076
38,60.000000,24,104069623.752599,104964163.432410,104964163.432410,104964163.432410,104964163.432410,104964163.432410,104964163.432410,104964163.432410
38,60.000000,18,101634364.272839,101634364.272839,101634364.272839,101634364.272839,101634364.272839,101634364.272839,101634364.272839,101634364.272839
38,60.000000,12,102561379.675224,102561379.675224,102561379.675224,102561379.675224,102561379.675224,102561379.675224,102561379.675224,102561379.675224
38,56.300000,64,102158605.815775,102158605.815775,102158605.815775,102158605.815775,102158605.815775,102158605.815775,102158605.815775,102158605.815775
