arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode8_L2_norm_flow_time
40,100.000000,50,8356432.513160,8360452.295520,8391321.423005,8391321.423005,8391321.423005,8391321.423005,8391321.423005,8391321.423005
40,500.000000,200,57821518.010127,57821518.010127,57821518.010127,57821518.010127,57821518.010127,57821518.010127,57821518.010127,57821518.010127
40,2000.000000,800,243791582.077903,243791582.077903,243791582.077903,243791582.077903,243791582.077903,243791582.077903,243791582.077903,243791582.077903
40,9.800000,32768,17509737.249742,17509737.249742,17509737.249742,17509737.249742,17509737.249742,17509737.249742,17509737.249742,17509737.249742
40,8.500000,262144,9916301.702657,9915497.382439,9915497.382439,9915497.382439,9915497.382439,9915497.382439,9915497.382439,9915497.382439
40,12.400000,4096,33709824.077750,33562170.867661,33562170.867661,33562170.867661,33562170.867661,33562170.867661,33562170.867661,33562170.867661
40,18.900000,512,68426388.497772,68425280.536054,68838095.364356,68838095.364356,68838095.364356,68838095.364356,68838095.364356,68838095.364356
40,60.000000,24,93348791.325555,94115978.929053,94115978.929053,94115978.929053,94115978.929053,94115978.929053,94115978.929053,94115978.929053
40,60.000000,18,94031092.557816,94031092.557816,94031092.557816,94031092.557816,94031092.557816,94031092.557816,94031092.557816,94031092.557816
40,60.000000,12,93564701.671518,93564701.671518,93564701.671518,93564701.671518,93564701.671518,93564701.671518,93564701.671518,93564701.671518
40,56.300000,64,93731017.949328,93731017.949328,93731017.949328,93731017.949328,93731017.949328,93731017.949328,93731017.949328,93731017.949328
