arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
26,8.500000,262144,72611902.479445
26,9.800000,32768,98213042.281048
26,12.400000,4096,135615490.028825
26,18.900000,512,203071903.846721
26,56.300000,64,273395184.888226
26,60.000000,12,268792286.919537
26,60.000000,18,263060899.102738
26,60.000000,24,252800635.578789
