arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
34,8.500000,262144,44662388.045093
34,9.800000,32768,54632939.994363
34,12.400000,4096,92342929.288813
34,18.900000,512,164310417.363628
34,56.300000,64,253962624.476173
34,60.000000,12,248305050.660063
34,60.000000,18,243101484.632454
34,60.000000,24,234514574.933919
