frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,83473170.176137,2310166.000000
4,1205183.596174,887077.000000
8,165139643.202987,3244184.000000
16,163805623.494753,3336445.000000
32,1177635.139523,840094.000000
64,2091583.210929,966233.000000
128,2246293.048598,778501.000000
256,1003271.106139,542380.000000
512,155270991.140865,3410775.000000
1024,100771422.159900,2307708.000000
2048,2382540.152115,930996.000000
4096,79571051.924911,2257364.000000
8192,130362774.240343,3473897.000000
16384,124508852.007835,3651328.000000
32768,3808935.410219,730101.000000
65536,70347174.077994,2243903.000000
