frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,421969.435672,254375.000000
4,161858556.481057,3465672.000000
8,1386987.725345,1096838.000000
16,1787121.668145,747724.000000
32,88661798.979450,2251746.000000
64,87152419.608811,2166141.000000
128,1028070.326923,637031.000000
256,2735158.554668,1089870.000000
512,84165258.355057,2279882.000000
1024,1589788.653500,722295.000000
2048,82341228.096926,2329031.000000
4096,3692610.351350,1149869.000000
8192,209767196.883511,3494952.000000
16384,80573602.875581,2217976.000000
32768,52297258.442439,2373284.000000
65536,75886075.186331,2155831.000000
