frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,165276403.472996,3320433.000000
4,163779715.251419,3469034.000000
8,84911306.266684,2336023.000000
16,85715138.686473,2354858.000000
32,168032697.232137,3533083.000000
64,2018944.906046,1162977.000000
128,173071979.887250,3333526.000000
256,89996509.287129,2273198.000000
512,168946161.423451,3420982.000000
1024,1358550.696573,888095.000000
2048,149614652.492228,3396543.000000
4096,1720234.079653,675350.000000
8192,146009062.659577,3207684.000000
16384,114228133.943125,3324805.000000
32768,111801765.395079,3416236.000000
65536,161257674.819718,2285043.000000
