frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,164719759.965580,3387453.000000
4,1602133.045809,897968.000000
8,84704531.525694,2138729.000000
16,161945435.234100,3348098.000000
32,165490788.526026,3389735.000000
64,87246485.866079,2230587.000000
128,1570781.823039,876846.000000
256,1905876.152051,703805.000000
512,78770553.987047,2229535.000000
1024,1292271.477821,748274.000000
2048,169455949.853711,3411370.000000
4096,2058266.442994,671623.000000
8192,167714808.113093,3265472.000000
16384,7099423.796393,1159418.000000
32768,53154831.394852,2160119.000000
65536,3612537.364208,1107127.000000
