frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,84989395.774993,2239131.000000
4,160655727.962597,3382883.000000
8,1318414.619892,1151111.000000
16,83862582.620347,2210783.000000
32,86721805.504946,2225303.000000
64,2226034.920332,1070828.000000
128,1573446.429735,864162.000000
256,92339887.214762,2248898.000000
512,1334132.627076,1011438.000000
1024,82433466.429580,2247845.000000
2048,96842019.621793,2337016.000000
4096,103054260.275652,2129453.000000
8192,66576052.279077,2178542.000000
16384,200229161.768238,3776424.000000
32768,8708945.613193,736644.000000
65536,228061515.855356,3114959.000000
