frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,1420592.550871,1078799.000000
4,163865460.831406,3478688.000000
8,85585334.267305,2260717.000000
16,164086566.245544,3335163.000000
32,879298.149383,721883.000000
64,82845833.541764,2069681.000000
128,166686874.203576,3538790.000000
256,969540.903869,459757.000000
512,2094935.073498,842805.000000
1024,1194472.387814,580382.000000
2048,84359703.453911,2405035.000000
4096,93892631.685152,2186530.000000
8192,219419129.493417,3380702.000000
16384,5480131.225957,762843.000000
32768,3673668.153821,1111163.000000
65536,194254441.820216,3509349.000000
