frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,1280275.883073,1023186.000000
4,915468.914059,845105.000000
8,161131157.416488,3296317.000000
16,167284360.896567,3603671.000000
32,84933430.774357,2192093.000000
64,84419933.598364,2207878.000000
128,89891863.485237,2214135.000000
256,2648011.266362,1163367.000000
512,153187523.492473,3323202.000000
1024,88514418.782842,2165206.000000
2048,82516583.380233,2321362.000000
4096,4058001.506017,1071993.000000
8192,72900087.808586,2232232.000000
16384,146679684.816700,2325557.000000
32768,118121145.179277,3094830.000000
65536,111975704.807714,2266916.000000
