frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,83330518.451248,2370966.000000
4,83667752.332636,2171833.000000
8,84694143.570526,2266816.000000
16,975539.325206,687452.000000
32,161827321.449202,3538864.000000
64,166014122.231123,3271930.000000
128,88463526.337537,2302227.000000
256,173069108.368062,3267547.000000
512,1802662.119089,1026135.000000
1024,86431655.707107,2154596.000000
2048,3736706.336316,1114618.000000
4096,3631637.491725,937576.000000
8192,186397510.483606,3566320.000000
16384,83833255.093420,2285150.000000
32768,187189154.240423,3354011.000000
65536,133069769.832170,3390022.000000
