frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,1807400.025913,1127283.000000
4,85354825.820229,2308580.000000
8,163088674.680457,3974305.000000
16,163042066.431149,3661227.000000
32,162385973.129982,3411298.000000
64,86172529.833726,2290415.000000
128,168811367.205279,3323375.000000
256,83935819.531914,2290220.000000
512,1978710.985441,951148.000000
1024,90031552.471435,2268787.000000
2048,142610547.568961,3531970.000000
4096,2076276.523003,1116605.000000
8192,213383430.688554,2997538.000000
16384,90293173.070927,2224798.000000
32768,106654719.427230,2206783.000000
65536,151870928.869566,3660063.000000
