frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode7_L2_norm_flow_time,Dynamic_BAL_njobs100_mode8_L2_norm_flow_time,Dynamic_BAL_njobs100_mode1_maximum_flow_time,Dynamic_BAL_njobs100_mode2_maximum_flow_time,Dynamic_BAL_njobs100_mode3_maximum_flow_time,Dynamic_BAL_njobs100_mode4_maximum_flow_time,Dynamic_BAL_njobs100_mode5_maximum_flow_time,Dynamic_BAL_njobs100_mode6_maximum_flow_time,Dynamic_BAL_njobs100_mode7_maximum_flow_time,Dynamic_BAL_njobs100_mode8_maximum_flow_time
1024,135427579.987215,136609307.672123,134525197.062277,131079121.377233,126928142.550331,89260097.625884,89260160.922873,127448638.482251,1351921.000000,1351921.000000,1351921.000000,1351921.000000,1351921.000000,2273569.000000,2273569.000000,1351921.000000
128,94906582.172149,94437012.604047,93142344.274578,86578756.656069,86806918.492354,86193682.524086,86260009.371824,86406670.266705,1964894.000000,1974586.000000,2079554.000000,2238092.000000,2238092.000000,2238092.000000,2238092.000000,2238092.000000
16384,6126768.706734,6098522.230113,6030261.242937,5965984.089338,5985895.620232,3085992.359085,3773864.218684,5846240.118877,361885.000000,365068.000000,370485.000000,375878.000000,375878.000000,1096411.000000,410320.000000,386813.000000
16,165776870.798368,164954112.426888,164911615.503562,164911615.503562,164911615.503562,164911615.503562,164911615.503562,164911615.503562,3358646.000000,3358646.000000,3358646.000000,3358646.000000,3358646.000000,3358646.000000,3358646.000000,3358646.000000
2048,179004575.503605,176290160.482366,169152436.674608,166315747.205993,165040691.058538,165040691.058538,165040691.058538,165040691.058538,3468233.000000,3491739.000000,3538715.000000,3538715.000000,3538715.000000,3538715.000000,3538715.000000,3538715.000000
256,3061707.625210,3121993.516229,3037201.494951,2891908.657939,2335365.209721,1118589.275184,1119307.457089,2256879.109262,88066.000000,76064.000000,100056.000000,133501.000000,265753.000000,549151.000000,549151.000000,310545.000000
2,7182459.338614,6525366.572539,5091547.129581,3251521.628735,2658993.778232,1925931.123838,1877034.329939,2844504.705220,120211.000000,180378.000000,234843.000000,547783.000000,862134.000000,1062634.000000,1062634.000000,862134.000000
32768,253029265.947229,251578653.240859,252579680.275307,252677979.723232,248308687.646196,220679958.756682,220679958.756682,249750790.443283,3357278.000000,3357278.000000,3357278.000000,3357278.000000,3357278.000000,3430003.000000,3430003.000000,3357278.000000
32,1010560.959893,1000582.269132,785024.181112,677281.546506,660607.268685,677648.027384,677647.518290,660157.279410,91202.000000,93063.000000,107831.000000,235235.000000,257359.000000,311130.000000,311130.000000,257359.000000
4096,2782546.352425,2768153.235408,2649580.985039,2503296.331391,2395421.299337,1515431.014746,1476475.322284,2402898.072412,154286.000000,158646.000000,166054.000000,286167.000000,290016.000000,805735.000000,805735.000000,288145.000000
4,167306318.425222,167090796.888669,167090796.888669,167090796.888669,167090796.888669,167090796.888669,167090796.888669,167090796.888669,3424569.000000,3424569.000000,3424569.000000,3424569.000000,3424569.000000,3424569.000000,3424569.000000,3424569.000000
512,175441959.240884,166352513.694376,164621935.597251,164081199.155207,164615827.272556,164081199.155207,164081199.155207,164081199.155207,3379326.000000,3533215.000000,3533215.000000,3533215.000000,3533215.000000,3533215.000000,3533215.000000,3533215.000000
64,7370592.131538,6905323.495386,6061400.647382,4052055.195093,2696146.039076,2626315.980305,2628151.663805,2407953.031910,155011.000000,190262.000000,211035.000000,426540.000000,625425.000000,1077853.000000,1077853.000000,630859.000000
65536,140780069.997226,140827303.117710,140869613.200033,140945526.760221,141021061.802588,141185311.596901,141511920.724754,141071039.102357,1827411.000000,1827411.000000,1832187.000000,1836787.000000,1840757.000000,1836787.000000,1891828.000000,1843334.000000
8192,168482315.828349,168616228.579507,168739292.458508,169111415.609088,169105043.596464,169152684.799142,169229331.775694,169311759.384851,3228644.000000,3228644.000000,3228644.000000,3228644.000000,3228644.000000,3228644.000000,3228644.000000,3228644.000000
8,91632112.388938,88578296.529392,87576250.089520,86223290.911421,85784546.704560,85696948.925055,85788503.337271,85696948.925055,2077870.000000,2108236.000000,2108236.000000,2150339.000000,2150339.000000,2150339.000000,2150339.000000,2150339.000000
