frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,5320536.085554,305521.000000,65803.350173
4,6142027.553783,287497.000000,52.000000
8,6785113.554336,303154.000000,56570.284488
16,5754284.851645,282953.000000,149.228013
32,6527021.800551,292093.000000,445431.387872
64,7633595.337195,300063.000000,143238.886986
128,6156551.341422,298676.000000,636194.833919
256,6162796.189507,304938.000000,67064.562281
512,6699701.083588,302578.000000,116131.336335
1024,8883570.648057,301271.000000,1193321.821352
2048,4248953.851898,247907.000000,645641.692672
4096,7072392.232296,281197.000000,811846.918636
8192,2575638.584213,123873.000000,1226731.600347
16384,10425694.103153,304211.000000,8077313.243802
32768,9032947.138835,305132.000000,7001592.405570
65536,6345862.511772,186744.000000,5805878.579672
