frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,5930412.532128,300301.000000,12676.199983
4,5867754.423606,303352.000000,17.000000
8,2973492.564273,204073.000000,189.678676
16,7012257.808668,300849.000000,46094.069011
32,6952351.988912,299284.000000,282404.746532
64,7334246.533297,301617.000000,540501.137383
128,8312921.615768,303379.000000,263647.488535
256,9562436.900917,303501.000000,1033316.423905
512,8096687.797983,303819.000000,893558.779104
1024,5711266.308593,299651.000000,1542159.357330
2048,7260495.835094,288054.000000,741840.890001
4096,7112941.730938,258575.000000,2443650.376365
8192,8102746.694431,304361.000000,1344324.485309
16384,10199196.716558,304904.000000,5601315.012044
32768,9328489.479436,303649.000000,5241881.945898
65536,6811565.471885,186177.000000,6807260.253107
