frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,7245000.342099,304729.000000,0.000000
4,5968017.822161,302250.000000,0.000000
8,4486504.784564,304442.000000,0.000000
16,6473123.179522,305345.000000,0.000000
32,4623680.156418,222093.000000,0.000000
64,6633915.530026,301956.000000,0.000000
128,7502298.870866,303491.000000,0.000000
256,7357830.831995,287268.000000,0.000000
512,9420905.678009,301790.000000,0.000000
1024,7108990.711259,291283.000000,0.000000
2048,8367738.518373,305022.000000,0.000000
4096,7736858.595062,297616.000000,0.000000
8192,5658742.025206,233823.000000,0.000000
16384,9362683.981703,257174.000000,0.000000
32768,7884760.918424,249321.000000,0.000000
65536,9539186.319005,250542.000000,0.000000
