frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,6163335.423360,305098.000000,17986.493488
4,5181231.968391,277052.000000,70846.094515
8,4901323.998786,279655.000000,93.000000
16,6426419.852282,304734.000000,46459.501213
32,6640795.584023,306607.000000,105.408728
64,6345354.479735,305701.000000,422494.242486
128,6305133.272466,297722.000000,182769.744121
256,8004234.227957,303784.000000,182843.429866
512,5909115.358099,275196.000000,239733.551692
1024,7580010.729420,303292.000000,1432277.069354
2048,7376082.051136,279495.000000,1151672.269331
4096,6652865.526782,286771.000000,1208533.282569
8192,7846059.614838,304902.000000,488985.809480
16384,6426815.664380,280863.000000,2454912.971100
32768,9725154.115013,303352.000000,8306072.887065
65536,6883264.437380,251154.000000,5747330.273053
