frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,4923592.878799,303329.000000,82.030482
4,2385107.427554,192959.000000,228.532273
8,6085080.722791,273684.000000,292401.023184
16,6544065.870563,290872.000000,998.586000
32,7217152.741248,303903.000000,3475.809402
64,7962153.440210,296132.000000,125006.398056
128,7555392.888733,304384.000000,417238.528201
256,6099319.876051,303508.000000,719571.602527
512,8052451.794267,303858.000000,767814.513065
1024,8425015.967100,298346.000000,1003359.080061
2048,8122536.515223,304140.000000,1133465.107804
4096,7698460.950192,287510.000000,3721023.773448
8192,4861393.530672,184754.000000,632875.050007
16384,6023944.819262,290634.000000,1341757.608122
32768,8116873.334675,248557.000000,4752267.337975
65536,1944349.369607,112216.000000,0.000000
