frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,3123587.883577,282897.000000,0.000000
4,4086274.793983,283931.000000,0.000000
8,4515490.581070,303740.000000,0.000000
16,6052576.530485,299132.000000,0.000000
32,5658798.255258,297676.000000,0.000000
64,7883314.585605,304969.000000,0.000000
128,5469426.490947,297359.000000,0.000000
256,6918322.886566,301005.000000,0.000000
512,7360535.313965,306787.000000,0.000000
1024,7239455.880934,298450.000000,0.000000
2048,6962352.166726,291386.000000,0.000000
4096,5394400.783170,298859.000000,0.000000
8192,9052391.960528,297776.000000,0.000000
16384,5129075.322977,288143.000000,0.000000
32768,3331962.436248,155701.000000,0.000000
65536,8054234.376197,250124.000000,0.000000
