frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
256,119675.252864,126417.693093,117321.792946,117321.792946,117337.418614,117319.817256
16,263223.923611,205240.635823,205236.669969,205240.635823,205240.635823,205236.669969
128,332575.222574,320226.201672,301729.918490,301729.918490,301729.918490,301729.376609
1024,167812.011158,160654.895618,161270.855082,162232.079781,166096.784096,163886.350106
32,287034.004224,399798.515309,298713.898980,269094.663968,269094.663968,269094.663968
2048,652720.065342,476741.019076,356498.632498,324230.996200,324194.133912,322593.838469
32768,781024.999838,775425.149858,772835.958924,745911.047482,713782.711892,567507.903683
8192,544629.171230,498528.786609,476145.699673,381376.545195,395257.912709,375802.167688
4,436436.286915,427072.096687,427072.096687,427072.096687,427072.096687,427072.096687
512,712921.649940,617473.970757,582071.209901,402825.981180,402825.981180,402636.544855
64,455206.921996,433815.763137,424112.395511,424000.197542,428640.231907,424000.197542
2,809656.441364,386058.288694,373423.489864,373515.987980,373515.987980,373423.489864
8,664532.856825,665440.406886,461796.052320,461796.052320,461796.052320,461796.052320
65536,1550774.499273,1503957.537874,1503957.537874,1323193.935143,1318257.709506,1318257.709506
16384,1498734.683041,1468282.248614,1436125.088691,1027006.057149,951031.522640,835984.225666
4096,1592052.926689,1564971.313466,1273245.775497,931118.649365,577891.070338,577861.518934
