frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
256,75660.234582,75660.234582,75660.234582,75660.234582,75660.234582,75660.234582
8,199348.522518,199348.522518,199348.522518,199348.522518,199348.522518,199348.522518
64,216463.247883,216463.247883,216463.247883,216463.247883,216463.247883,216463.247883
32768,306492.591359,311739.688548,311739.688548,311739.688548,311739.688548,311739.688548
1024,247581.765607,247581.765607,247581.765607,247581.765607,247581.765607,247581.765607
4,196603.821461,196603.821461,196603.821461,196603.821461,196603.821461,196603.821461
2048,308955.580633,308955.580633,308955.580633,308955.580633,308955.580633,308955.580633
32,233585.860754,233585.860754,233585.860754,233585.860754,233585.860754,233585.860754
16384,328290.231646,328290.231646,328290.231646,328290.231646,328290.231646,328290.231646
4096,546310.700500,569006.884260,569006.884260,569006.884260,569006.884260,569006.884260
512,397980.223788,397980.223788,397980.223788,397980.223788,397980.223788,397980.223788
65536,842227.197628,807181.318019,807181.318019,807181.318019,842227.197628,807181.318019
16,635888.479460,635888.479460,635888.479460,635888.479460,635888.479460,635888.479460
2,370008.761772,370008.761772,370008.761772,370008.761772,370008.761772,370008.761772
8192,650825.322093,650825.322093,650825.322093,650825.322093,650825.322093,650825.322093
128,4722892.197617,404785.689405,404785.689405,404785.689405,404785.689405,404785.689405
