frequency,Dynamic_njobs200_mode0_L2_norm_flow_time,Dynamic_njobs200_mode0_maximum_flow_time,Dynamic_njobs200_mode1_L2_norm_flow_time,Dynamic_njobs200_mode1_maximum_flow_time,Dynamic_njobs200_mode2_L2_norm_flow_time,Dynamic_njobs200_mode2_maximum_flow_time,Dynamic_njobs200_mode4_L2_norm_flow_time,Dynamic_njobs200_mode4_maximum_flow_time,Dynamic_njobs200_mode8_L2_norm_flow_time,Dynamic_njobs200_mode8_maximum_flow_time,Dynamic_njobs200_mode16_L2_norm_flow_time,Dynamic_njobs200_mode16_maximum_flow_time
128,117035.593577,29809.000000,117035.593577,29809.000000,117035.593577,29809.000000,117035.593577,29809.000000,117035.593577,29809.000000,117035.593577,29809.000000
2,135416.036750,84787.000000,135416.036750,84787.000000,135416.036750,84787.000000,135416.036750,84787.000000,135416.036750,84787.000000,135416.036750,84787.000000
8,118190.539275,45729.000000,118950.399323,45729.000000,118190.539275,45729.000000,118190.539275,45729.000000,118190.539275,45729.000000,118190.539275,45729.000000
64,166893.565047,69031.000000,166893.565047,69031.000000,166893.565047,69031.000000,166893.565047,69031.000000,166893.565047,69031.000000,166893.565047,69031.000000
65536,168933.815517,81033.000000,168933.815517,81033.000000,168933.815517,81033.000000,168933.815517,81033.000000,168933.815517,81033.000000,168933.815517,81033.000000
4,101995.652697,51630.000000,101995.652697,51630.000000,101995.652697,51630.000000,101995.652697,51630.000000,101995.652697,51630.000000,101995.652697,51630.000000
8192,195514.545505,84258.000000,195514.545505,84258.000000,195514.545505,84258.000000,195514.545505,84258.000000,195514.545505,84258.000000,195514.545505,84258.000000
512,160433.367926,76233.000000,160433.367926,76233.000000,160433.367926,76233.000000,160433.367926,76233.000000,160433.367926,76233.000000,160433.367926,76233.000000
32,254684.492963,123864.000000,254684.492963,123864.000000,254684.492963,123864.000000,254684.492963,123864.000000,254684.492963,123864.000000,254684.492963,123864.000000
4096,262037.911230,91349.000000,262037.911230,91349.000000,262037.911230,91349.000000,262037.911230,91349.000000,262037.911230,91349.000000,262037.911230,91349.000000
32768,507674.456556,275487.000000,507674.456556,275487.000000,507674.456556,275487.000000,507674.456556,275487.000000,507674.456556,275487.000000,507674.456556,275487.000000
1024,330463.690487,210992.000000,330463.690487,210992.000000,330463.690487,210992.000000,330463.690487,210992.000000,330463.690487,210992.000000,330463.690487,210992.000000
16,394553.731612,253834.000000,394553.731612,253834.000000,394553.731612,253834.000000,394553.731612,253834.000000,394553.731612,253834.000000,394553.731612,253834.000000
2048,313614.425937,246496.000000,313614.425937,246496.000000,313614.425937,246496.000000,313614.425937,246496.000000,313614.425937,246496.000000,313614.425937,246496.000000
256,422977.237219,270546.000000,422977.237219,270546.000000,422977.237219,270546.000000,422977.237219,270546.000000,422977.237219,270546.000000,422977.237219,270546.000000
16384,446883.896756,275301.000000,446883.896756,275301.000000,446883.896756,275301.000000,446883.896756,275301.000000,446883.896756,275301.000000,446883.896756,275301.000000
