frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
2,157025.950709,156982.072046,154972.173112,154972.173112,154972.173112,154972.173112
4,156249.444140,141337.076073,141337.348645,141337.348645,141337.348645,141336.624139
128,288082.586865,286080.028742,270677.415556,270711.324353,270711.324353,269848.223946
64,267373.132130,260393.392528,260393.392528,260393.392528,260393.392528,260393.392528
4096,323838.646991,331465.564771,300750.527725,318630.973317,332200.955081,335209.807091
2048,368522.254002,326396.673970,292561.933961,222198.144659,234102.132765,222142.947876
256,304567.418779,281088.953289,223343.704930,223343.704930,225771.700262,219748.111466
32,188312.446166,179927.040061,174110.420515,174110.420515,176804.148789,157489.117326
32768,506886.806045,506886.806045,505927.773834,505963.270045,543306.347842,608858.764452
8,330616.023727,267176.931633,243189.254035,243189.254035,243189.254035,243189.254035
16,222398.195809,222398.195809,222398.195809,222398.195809,222398.195809,222398.195809
8192,411441.091397,408293.558807,384638.696916,364818.615846,285200.673344,285430.988896
1024,681792.695869,564833.410137,474232.657439,472756.251446,472756.251446,474240.452734
16384,2270474.391855,2262158.157904,2287788.734634,1714318.886454,1861451.877983,687979.404869
512,793504.751026,733254.519104,538264.749133,538264.749133,538480.890671,538244.045655
65536,3677047.937801,3681209.027363,3681209.027363,3668181.396613,3652153.086220,2169383.200964
