frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
2,257274.265950,257274.265950,257274.265950,257274.265950,257274.265950,257274.265950
2048,366988.010514,366193.671522,366193.671522,366193.671522,366988.010514,366193.671522
64,280075.569161,280075.569161,280075.569161,280075.569161,280075.569161,280075.569161
512,223292.315235,223292.315235,223292.315235,223292.315235,223292.315235,223292.315235
8,411995.543179,411995.543179,411995.543179,411995.543179,411995.543179,411995.543179
32,325182.061931,325182.061931,325182.061931,325182.061931,325182.061931,325182.061931
32768,374930.483022,341663.937828,341663.937828,341663.937828,341663.937828,341663.937828
4,327161.674548,327161.674548,327161.674548,327161.674548,327161.674548,327161.674548
256,631482.842658,631482.842658,631482.842658,631482.842658,631482.842658,631482.842658
128,746472.858048,746472.858048,746472.858048,746472.858048,746472.858048,746472.858048
16,464426.080860,464426.080860,464426.080860,464426.080860,464426.080860,464426.080860
4096,397833.387027,420011.560360,445442.092114,445442.092114,445442.092114,445442.092114
8192,750322.480116,750322.480116,750322.480116,750322.480116,750322.480116,750322.480116
1024,699555.400637,699555.400637,699555.400637,699555.400637,699555.400637,699555.400637
65536,1089756.042907,1089756.042907,1089756.042907,1089756.042907,1089756.042907,1089756.042907
16384,1401939.256609,1401939.256609,1401939.256609,1401939.256609,1401939.256609,1401939.256609
