frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
16384,237947.762597,253009.092623,253009.092623,253009.092623,253009.092623,253009.092623
2048,222963.662625,216150.349551,216150.349551,216150.349551,216150.349551,216150.349551
2,382885.960727,382885.960727,382885.960727,382885.960727,382885.960727,382885.960727
256,365587.460585,365587.460585,365587.460585,365587.460585,365587.460585,365587.460585
64,233989.067270,234939.440622,234939.440622,234939.440622,234939.440622,234939.440622
4,432259.879479,436176.021536,436176.021536,436176.021536,436176.021536,436176.021536
65536,1027153.992119,1027153.992119,1027153.992119,1027153.992119,1027153.992119,1027153.992119
8,293520.205516,307115.607127,307115.607127,307115.607127,307115.607127,307115.607127
16,360401.991466,360401.991466,360401.991466,360401.991466,360401.991466,360401.991466
32,437296.435458,448937.511458,448937.511458,448937.511458,448937.511458,448937.511458
1024,463899.043382,463899.043382,463899.043382,463899.043382,463899.043382,463899.043382
512,648524.635302,648524.635302,648524.635302,648524.635302,648524.635302,648524.635302
4096,499559.068444,499559.068444,499559.068444,499559.068444,499559.068444,499559.068444
128,645122.869134,645110.956212,645122.869134,645122.869134,645122.869134,645110.956212
8192,1112797.096519,1112797.096519,1112797.096519,1112797.096519,1112797.096519,1112797.096519
32768,1168036.240107,1153658.325664,1153658.325664,1153658.325664,1153658.325664,1153658.325664
