frequency,Dynamic_njobs100_mode0_L2_norm_flow_time,Dynamic_njobs100_mode0_maximum_flow_time,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode1_maximum_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode2_maximum_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode4_maximum_flow_time,Dynamic_njobs100_mode8_L2_norm_flow_time,Dynamic_njobs100_mode8_maximum_flow_time,Dynamic_njobs100_mode16_L2_norm_flow_time,Dynamic_njobs100_mode16_maximum_flow_time
8,388362.780316,66253.000000,356539.653838,27696.000000,346834.649242,36064.000000,355360.776482,50574.000000,364784.061043,83162.000000,383083.731293,66253.000000
2,287552.145438,60168.000000,250373.745047,35602.000000,253444.073758,42660.000000,258761.245926,58849.000000,274094.641400,96606.000000,267047.176903,60526.000000
2048,604221.797123,75685.000000,536310.464890,27277.000000,543071.211466,27337.000000,530937.160505,46043.000000,537942.100471,61522.000000,552102.362302,88911.000000
64,954221.264354,72438.000000,796972.829106,79624.000000,825682.083036,112767.000000,841268.212678,122862.000000,803818.028437,102261.000000,847177.896692,102261.000000
4,861415.463098,75703.000000,735795.313360,54886.000000,770724.370832,60780.000000,752881.440641,88338.000000,734530.657531,80573.000000,761838.763967,80818.000000
256,783499.014350,146368.000000,685123.577496,45496.000000,678122.035087,41678.000000,666692.922005,58727.000000,696270.282022,86152.000000,710606.421818,82863.000000
32,889027.564479,153758.000000,827214.345791,46451.000000,831353.961131,58364.000000,807346.302781,58947.000000,830439.056176,89717.000000,856767.665248,128622.000000
512,1003236.669225,191769.000000,952199.908469,70967.000000,943666.901617,69090.000000,943904.100254,55886.000000,919229.113210,69090.000000,938373.354779,112532.000000
128,1385652.553616,73642.000000,1227405.105745,65591.000000,1248775.730225,85607.000000,1250035.692356,102062.000000,1227171.238674,160902.000000,1231823.105427,129268.000000
16,788050.335387,138002.000000,725868.838950,55943.000000,703194.878011,83442.000000,753629.787715,141628.000000,760583.793641,142049.000000,777806.554217,147246.000000
1024,1132413.557141,83190.000000,1034217.210525,59921.000000,1039999.136527,53718.000000,1038512.972323,64160.000000,1051931.638437,76063.000000,1067158.377302,143105.000000
4096,1156989.232120,207767.000000,1197325.102523,57923.000000,1235560.127394,67385.000000,1239303.347629,68915.000000,1204898.497914,86001.000000,1195810.384663,252095.000000
16384,1323050.357802,301008.000000,1298911.245292,81929.000000,1295657.234161,77954.000000,1292151.946612,84677.000000,1271782.603181,90011.000000,1311624.067666,100774.000000
32768,1145694.265663,19282.000000,1131354.851627,44329.000000,1130078.293385,41489.000000,1128807.464844,35801.000000,1139825.929973,19779.000000,1145694.265663,19282.000000
8192,1580910.175473,296456.000000,1470538.967740,46074.000000,1462063.826570,47508.000000,1459904.726182,50780.000000,1468569.257928,48764.000000,1480766.995205,91104.000000
65536,3903833.134808,71985.000000,3570762.436149,124399.000000,3570762.436149,124399.000000,3570762.436149,124399.000000,3559402.654533,121088.000000,3536707.682208,114717.000000
