frequency,Dynamic_njobs50_mode0_L2_norm_flow_time,Dynamic_njobs50_mode0_maximum_flow_time,Dynamic_njobs50_mode1_L2_norm_flow_time,Dynamic_njobs50_mode1_maximum_flow_time,Dynamic_njobs50_mode2_L2_norm_flow_time,Dynamic_njobs50_mode2_maximum_flow_time,Dynamic_njobs50_mode4_L2_norm_flow_time,Dynamic_njobs50_mode4_maximum_flow_time,Dynamic_njobs50_mode8_L2_norm_flow_time,Dynamic_njobs50_mode8_maximum_flow_time,Dynamic_njobs50_mode16_L2_norm_flow_time,Dynamic_njobs50_mode16_maximum_flow_time
4,218519.194244,130031.000000,216213.098683,125299.000000,196336.033224,75987.000000,218519.194244,130031.000000,218519.194244,130031.000000,218519.194244,130031.000000
64,127230.324986,61495.000000,130686.268318,61495.000000,126863.098949,61495.000000,127230.324986,61495.000000,127230.324986,61495.000000,127230.324986,61495.000000
1024,295205.521615,122461.000000,284427.122536,89581.000000,295205.521615,122461.000000,295205.521615,122461.000000,292733.879006,122461.000000,295205.521615,122461.000000
32,341581.733180,221161.000000,279647.974416,99353.000000,341581.733180,221161.000000,341581.733180,221161.000000,341581.733180,221161.000000,341581.733180,221161.000000
2,309966.643234,248310.000000,280420.705849,86999.000000,312347.679143,198468.000000,309966.643234,248310.000000,309966.643234,248310.000000,309966.643234,248310.000000
256,536645.442949,241868.000000,537543.857741,177147.000000,536645.442949,241868.000000,536645.442949,241868.000000,536645.442949,241868.000000,536645.442949,241868.000000
16,381492.967201,282521.000000,429643.791694,159482.000000,420287.449055,221815.000000,381492.967201,282521.000000,381492.967201,282521.000000,381492.967201,282521.000000
8,496061.508696,275674.000000,492045.641490,137999.000000,480339.282976,175111.000000,496061.508696,275674.000000,496061.508696,275674.000000,496061.508696,275674.000000
32768,628047.741044,231801.000000,729536.740223,157373.000000,744978.906168,144315.000000,692009.535294,210184.000000,628047.741044,231801.000000,628047.741044,231801.000000
2048,599345.537473,276574.000000,609683.131353,175152.000000,599345.537473,276574.000000,599345.537473,276574.000000,599345.537473,276574.000000,599345.537473,276574.000000
4096,736705.609594,247887.000000,745097.307222,196100.000000,736705.609594,247887.000000,736705.609594,247887.000000,736705.609594,247887.000000,736705.609594,247887.000000
128,669654.311075,300647.000000,606764.362980,211810.000000,653203.535839,263267.000000,669654.311075,300647.000000,669654.311075,300647.000000,669654.311075,300647.000000
16384,800491.351104,258201.000000,791228.252695,216261.000000,779711.892557,216261.000000,800491.351104,258201.000000,800491.351104,258201.000000,800491.351104,258201.000000
512,709979.831404,291722.000000,746593.010827,239369.000000,709979.831404,291722.000000,709979.831404,291722.000000,709979.831404,291722.000000,709979.831404,291722.000000
8192,1296718.277788,253428.000000,1243358.995884,248425.000000,1317323.318965,247681.000000,1296718.277788,253428.000000,1296718.277788,253428.000000,1296718.277788,253428.000000
65536,1353547.053969,317901.000000,1496081.735539,257337.000000,1353547.053969,317901.000000,1353547.053969,317901.000000,1353547.053969,317901.000000,1353547.053969,317901.000000
