frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
4,268479.319256,268479.319256,268479.319256,268479.319256,268479.319256,268479.319256
65536,350487.082909,350487.082909,350487.082909,350487.082909,350487.082909,350487.082909
2,221321.498280,221321.498280,221321.498280,221321.498280,221321.498280,221321.498280
16,225822.068461,225822.068461,225822.068461,225822.068461,225822.068461,225822.068461
256,237306.168746,237306.168746,237306.168746,237306.168746,237306.168746,237306.168746
32768,250782.263741,250782.263741,250782.263741,250782.263741,250782.263741,250782.263741
512,335028.995766,335028.995766,335028.995766,335028.995766,335028.995766,335028.995766
2048,177847.802047,183518.489946,183518.489946,183518.489946,183518.489946,183518.489946
64,200468.112988,200468.112988,200468.112988,200468.112988,200468.112988,200468.112988
128,263416.688359,263416.688359,263416.688359,263416.688359,263416.688359,263416.688359
8192,270077.311161,270077.311161,270077.311161,270077.311161,270077.311161,270077.311161
4096,260017.637709,260017.637709,260017.637709,260017.637709,260017.637709,260017.637709
1024,232157.802975,232157.802975,232157.802975,232157.802975,232157.802975,232157.802975
32,325386.978753,325386.978753,325386.978753,325386.978753,325386.978753,325386.978753
16384,424936.233806,422207.046251,422207.046251,422207.046251,424936.233806,422207.046251
8,452848.587554,452848.587554,452848.587554,452848.587554,452848.587554,452848.587554
