frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
512,96257.638242,96230.405408,96230.405408,96230.405408,96230.405408,96230.405408
64,149357.716061,149357.716061,149357.716061,149357.716061,149357.716061,149357.716061
16,153556.790814,153556.790814,153556.790814,153556.790814,153556.790814,153556.790814
16384,274793.456283,274793.456283,274793.456283,274793.456283,274793.456283,274793.456283
2,140277.878766,140277.878766,140277.878766,140277.878766,140277.878766,140277.878766
128,254470.278905,254470.278905,254470.278905,254470.278905,254470.278905,254470.278905
65536,574540.070359,574540.070359,574540.070359,574540.070359,574540.070359,574540.070359
8192,439319.498397,439319.498397,439319.498397,439319.498397,439319.498397,439319.498397
8,216664.760736,216664.760736,216664.760736,216664.760736,216664.760736,216664.760736
1024,332379.847748,332379.847748,332379.847748,332379.847748,332379.847748,332379.847748
32,281384.306158,281384.306158,281384.306158,281384.306158,281384.306158,281384.306158
4096,390735.930404,385451.414889,385451.414889,385451.414889,385451.414889,385451.414889
4,563539.374988,563539.374988,563539.374988,563539.374988,563539.374988,563539.374988
32768,480301.143231,489779.335284,489779.335284,489779.335284,489779.335284,489779.335284
2048,507630.027310,507630.027310,507630.027310,507630.027310,507630.027310,507630.027310
256,480942.461028,480942.461028,480942.461028,480942.461028,480942.461028,480942.461028
