frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
8192,428568.423279,416103.390911,425204.930806,431303.906638,426577.923365,469024.108073
16,401118.230370,408550.473273,420177.913000,430227.842420,421110.615560,455318.956028
8,414600.785919,417657.332386,436311.894336,425640.664062,434940.245348,461414.872230
4,652710.253642,671834.099940,648687.177376,685406.420405,675190.773138,761069.139001
2048,623188.710398,618306.001532,622123.654437,638658.529362,651557.679300,709871.214785
64,820368.163493,783177.032763,802407.118987,804077.461809,805365.655935,892443.755730
2,545144.544969,537443.661613,558092.575748,550738.458454,576318.249657,620406.351791
1024,804261.479524,809282.912667,812328.132272,794775.204416,821343.861692,902800.380637
4096,1203595.969796,1205044.604144,1205714.201517,1202312.037560,1208730.950460,1286999.295939
16384,927805.106230,918102.880378,912633.373135,907919.744264,934357.174549,1013551.797383
32768,864836.155409,862767.965196,861493.028324,860838.965096,867611.978128,1008221.641248
128,1107502.321025,1084963.779054,1087740.922446,1125119.769410,1125599.983276,1224621.852635
256,1086520.292927,1051450.028717,1037296.741354,1055321.587234,1104675.675925,1158408.603198
32,1344286.133179,1330719.473821,1327829.443686,1319816.526703,1364580.506379,1566469.706997
512,1079866.958530,1086253.094739,1065050.697695,1171429.084269,1080367.421601,1220822.481630
65536,5026468.845356,5032961.625272,5117162.368804,5090565.900581,5223419.281060,4492888.059824
