frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,1978606.074679,783005.000000
4,1563549.270100,541380.000000
8,164194237.657985,3296317.000000
16,170407680.427594,3603671.000000
32,89696297.993394,2192093.000000
64,89581913.608709,2207878.000000
128,95086388.635009,2214135.000000
256,2879257.486396,1163367.000000
512,156458098.672599,3323202.000000
1024,93662141.286257,2165206.000000
2048,86123232.197922,2321362.000000
4096,4056048.653435,1071993.000000
8192,77168658.353733,2232232.000000
16384,150346167.991773,2325557.000000
32768,120950313.233302,3094830.000000
65536,116556525.399415,2266916.000000
