frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,88829566.755983,2370966.000000
4,89158714.827085,2171833.000000
8,89807211.671433,2266816.000000
16,1012765.943169,531135.000000
32,164829420.760546,3538864.000000
64,168971627.643902,3271930.000000
128,93652287.029163,2302227.000000
256,176023644.238232,3299503.000000
512,1750964.455199,1026135.000000
1024,90854205.663782,2154596.000000
2048,3675284.735653,1114618.000000
4096,4081901.147664,937576.000000
8192,189227247.326738,3566320.000000
16384,87594206.078887,2285150.000000
32768,189308620.978216,3354011.000000
65536,135419555.682576,3390022.000000
