frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,1314292.484283,154124.000000
4,165068089.044851,3465672.000000
8,4040321.442614,653937.000000
16,1767791.602816,747724.000000
32,93816715.881409,2251746.000000
64,92395664.666606,2166141.000000
128,1777680.528699,562166.000000
256,2688882.257356,1089870.000000
512,88576785.654574,2279882.000000
1024,1582862.970675,722295.000000
2048,89247126.576125,2214858.000000
4096,4332404.936670,1149869.000000
8192,212727739.631312,3494952.000000
16384,86023463.312426,2217976.000000
32768,56404461.782539,2373284.000000
65536,76622551.332050,2155831.000000
